protein	035_Austin_F0hPC1_a_Slot1-86_1_2725	035_Austin_F0hPC2_a_Slot1-03_1_2726	035_Austin_F0hPC3_a_Slot1-15_1_2727	035_Austin_F0hPP1_a_Slot1-50_1_2722	035_Austin_F0hPP2_a_Slot1-62_1_2723	035_Austin_F0hPP3_a_Slot1-74_1_2724	035_Austin_F24hPC1_a_Slot1-63_1_2731	035_Austin_F24hPC2_a_Slot1-75_1_2732	035_Austin_F24hPC3_a_Slot1-87_1_2733	035_Austin_F24hPP3_a_Slot1-27_1_2728	035_Austin_F24hPP4_a_Slot1-39_1_2729	035_Austin_F24hPP5_a_Slot1-51_1_2730	035_Austin_M0hPC1_a_Slot1-37_1_2711	035_Austin_M0hPC1_b_Slot1-37_1_2752	035_Austin_M0hPC3_a_Slot1-49_1_2712	035_Austin_M0hPC3_b_Slot1-49_1_2753	035_Austin_M0hPC4_a_Slot1-61_1_2713	035_Austin_M0hPC4_b_Slot1-61_1_2754	035_Austin_M0hPP1_a_Slot1-01_1_2708	035_Austin_M0hPP1_b_Slot1-01_1_2749	035_Austin_M0hPP2_a_Slot1-13_1_2709	035_Austin_M0hPP2_b_Slot1-13_1_2750	035_Austin_M0hPP3_a_Slot1-25_1_2710	035_Austin_M0hPP3_b_Slot1-25_1_2751	035_Austin_M24hPC3_a_Slot1-14_1_2718	035_Austin_M24hPC4_a_Slot1-26_1_2719	035_Austin_M24hPC5_a_Slot1-38_1_2721	035_Austin_M24hPP1_a_Slot1-73_1_2715	035_Austin_M24hPP3_a_Slot1-85_1_2716	035_Austin_M24hPP5_a_Slot1-02_1_2717
A0JNU3	274316.2737463072	257608.02086696884	132724.94234912968	741138.1278864816	727788.1025166315	606845.065621826	193944.7244365574	215239.7238540847	338897.18433892395	566724.7374615704	643342.0673276008	694412.5587160797	120854.9169362236	117233.2971521604	284929.6103268659	271848.8630504459	284943.0945713971	351906.0134877763	769255.086398977	694363.9167781017	640849.3104506459	507009.78784438485	509147.3101742931	559955.8030774645	236025.83617585053	217094.75781495732	235447.03107983735	657337.3712364478	558758.415994328	552789.362881556
A2A432	61230.364667172114	68634.65968071719	81254.97322915134	71121.23240764251	77378.76966353117	72219.56141961228	84142.7199149563	67781.7225530174	64036.52057882021	64595.84395627191	77437.71798970054	81797.50710113543	70177.57227412457	73156.39529285814	69691.78660705601	75120.74272876995	78006.48432913638	81562.08431636522	80236.90725341297	96761.27331820122	82322.8264651272	86026.47672116288	71869.54715578016	61653.97439126796	68903.33566589344	74107.91729637537	51511.22618833687	63972.83437425715	48589.396230354345	64597.08439815674
A2A4P0	12419.059043884276	13901.75413920054	17587.36014901821	12353.298076729023	13307.348335291223	14123.590199882748	10184.206508579851	10640.80858954807	11155.506251143848	10915.542304090768	12262.280295094812	12384.784464612278	11302.226192803446	15937.259714854079	11537.47520319479	12670.412456281632	14605.249262885129	14216.876056083145	12583.984883404644	10981.20370128823	15445.384353176243	10907.709793034051	10364.970857882838	12196.527982404348	16074.257308221382	10632.7877189793	11089.398776513559	17433.701495788697	12210.69647650388	11935.221528617469
A2A591;Q9D638	0.0	0.0	6909.891891592356	0.0	0.0	577.261302934229	0.0	0.0	0.0	1459.3368742004939	0.0	0.0	0.0	0.0	1366.5793966917909	0.0	0.0	0.0	669.4310000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1649.0112181424104	8921.130939466064
A2A5R2	178926.51640157052	189435.2477477568	243301.93536673224	223037.17955460318	220676.46663765528	219706.96859247494	227761.95393675365	270082.66146886064	212510.91917507676	219395.98479529918	272819.8399820014	216723.6880130671	172174.68573321993	176197.7094743115	215293.51750232093	230810.83123531286	262441.9474739571	296616.25641983567	229634.68436162276	240020.58724898146	217836.86370386256	222454.46905985448	192910.71743472124	225615.71202564862	195142.53492306423	249296.4316534648	189627.8320678553	227943.54165797954	186536.50423922561	203523.4449013093
A2A5Z6	2217.88385898097	2252.3465701310483	2365.8734435929136	2486.264557594543	0.0	2054.1902796216955	3136.49053168291	3007.369507069288	4076.8231375511264	2580.1448758349266	0.0	2969.8600115973654	852.0509544061255	3005.2381337876764	0.0	1779.904243557371	1255.0375995245179	2520.7865290835593	2217.261717521102	4567.323379699065	2152.861557822586	2444.529330910214	0.0	2247.53848767432	0.0	0.0	1599.3282652882674	3120.141693774814	0.0	2806.2059184921313
A2A6A1	6595.950353329356	6475.809675822993	5007.6631170923765	6852.3493810555	5386.320601423175	0.0	6486.585433415943	5504.628879907319	5175.392164022619	7140.973271781886	5992.962982000285	6873.354052371539	5996.600740752386	6777.440429864086	6592.305787545398	8580.308340177848	0.0	0.0	0.0	6172.355309757184	6498.080372717618	0.0	0.0	5870.699158861888	0.0	0.0	5191.062154675682	6807.241146382307	0.0	0.0
A2A7S8	32844.27602342446	25314.684663061038	20511.416550388858	45875.62063205498	22559.290474870726	33359.85735246677	26519.281565681238	25206.151862041927	29251.54977673911	30306.092093006464	29588.88234826532	36542.68269401194	22264.71725148534	18566.91920793842	30369.171161985545	35922.95488831437	37913.52353047509	32392.013904404186	26416.052986211496	23947.75043589188	22935.527727843913	25983.959664815113	28000.338042068997	30881.11699094253	20775.119550199877	19498.910752522566	21244.993560802788	25302.42261681953	26328.49520475013	24205.182832960483
A2A8L5	14806.57416043615	15260.84363152089	16198.142905729239	16531.904129732444	17106.255016981326	15190.598734476793	17838.93548834113	10128.18326057202	16433.952536822853	10834.016409263848	11929.013644219267	14728.743344086486	12405.019878588102	13630.725763172097	11024.584566197675	5823.050306851981	13255.67481504513	14066.673617551862	13571.813288063455	25124.420975458037	16582.53054492362	21586.752374543943	19311.54375166468	22769.993295534634	15029.10259687051	8256.952619427819	13761.251992433105	14181.334858411039	12415.324258907922	16360.518534341512
A2A8U2	26709.61112505416	25687.989656157893	26249.284378260378	14488.874196844077	20411.752068085614	22299.333890914746	23894.78330051121	26003.87498941819	28576.472762989568	22940.30043697094	25021.686902840203	22619.60462043874	24592.3539888283	24855.834540897966	13462.698438125188	14649.408725747011	13862.798271125608	11964.359116417796	12585.023964295877	15815.518874979021	16562.367174345403	15452.979552249562	12687.751984397677	12853.03475810847	19014.893916335117	15738.240202858891	22180.721544162425	11139.199357713194	13596.855943323031	15094.278601763443
