"","From","To"
"33","A2AQ25","Skt"
"166","O08848","RO60"
"319","O55201","Supt5h"
"332","O70230","Znf143"
"333","O70251","Eef1b"
"367","O70582","Alox12b"
"372","O88291","Znf326"
"453","P00015","Cyct"
"454","P00158","Mt-Cyb"
"458","P00397","Mtco1"
"459","P00405","Mtco2"
"460","P00416","mt-Co3"
"463","P00848","Mtatp6"
"464","P00920","Ca2"
"474","P01942","Hba"
"475","P02088","Hbb-b1"
"476","P02301","H3-5"
"481","P03888","Mtnd1"
"482","P03893","mt-Nd2"
"483","P03899","mt-Nd3"
"484","P03903","Mtnd4l"
"485","P03911","Mtnd4"
"486","P03921","Mtnd5"
"487","P03930","Mtatp8"
"488","P04104","Krt1"
"500","P05977","Myl1"
"505","P06684","C5"
"507","P06745","Gpi"
"524","P08101","Fcgr2"
"530","P08607","C4bpa"
"546","P0DN34","Ndufb1"
"553","P10639","Txn"
"559","P10922","H1-0"
"603","P14576","Srp54"
"617","P15864","H1-2"
"619","P16015","Ca3"
"638","P17156","Hspa2"
"646","P17717","Ugt2b17"
"666","P19258","Mpv17"
"703","P23492","Pnp"
"705","P23589","Ca5a"
"737","P26262","Klkb1"
"767","P28651","Ca8"
"889","P43274","H1-4"
"890","P43276","H1-5"
"891","P43277","H1-3"
"896","P45700","Man1a1"
"955","P49070","Camlg"
"979","P50427","Sts"
"991","P51150","Rab7a"
"1052","P54751","St3gal1"
"1090","P56542","Dnase2"
"1254","P62838","Ube2d2"
"1295","P63163","Snrpn"
"1298","P63271","Supt4h1a"
"1338","P70280","Vamp7"
"1362","P70452","Stx4"
"1378","P80317","Cct6a"
"1405","P97351","Rps3a"
"1446","P97807","Fh"
"1514","Q05909","Ptprg"
"1516","Q05920","Pc"
"1627","Q3TTY5","Krt2"
"1782","Q3UY34","Custos"
"1875","Q5QGU6","Rtp3"
"2004","Q61136","Prp4k"
"2027","Q61216","Mre11"
"2049","Q61464","Znf638"
"2067","Q61624","Znf148"
"2122","Q62383","Supt6h"
"2146","Q63850","Nup62"
"2176","Q64435","Ugt1a6"
"2185","Q64478","H2bc9"
"2195","Q64522","H2ac21"
"2207","Q66GT5","Ptpmt1"
"2208","Q66JZ4","TCAIM"
"2221","Q69Z99","Znf512"
"2244","Q6A0A9","FAM120A"
"2261","Q6IQX8","Znf219"
"2279","Q6NZF1","Zc3h11a"
"2427","Q6ZWR6","Syne1"
"2520","Q7TSH3","Znf516"
"2634","Q80YR4","Znf598"
"2646","Q80ZM3","Mettl20"
"2676","Q8BFZ3","Actbl2"
"2692","Q8BGB2","Ttc7a"
"2774","Q8BHZ4","Znf592"
"2796","Q8BJ90","Znf771"
"2834","Q8BL74","Gtf3c2"
"2901","Q8BRV5","Kiaa1671"
"2923","Q8BTW3","Exosc6"
"3161","Q8CE64","Znf276"
"3186","Q8CG76","Akr7a2"
"3187","Q8CG79","Tp53bp2"
"3289","Q8K0C4","Cyp51a1"
"3317","Q8K1E0","Stx5"
"3330","Q8K201","Kct2"
"3345","Q8K2C6","Sirt5"
"3381","Q8K385","FRRS1"
"3424","Q8QZV7","IntS13"
"3437","Q8R079","Bfar"
"3448","Q8R0J4","Tmem134"
"3455","Q8R0W0","Eppk1"
"3483","Q8R1N0","Znf830"
"3589","Q8VBZ0","Dhrsx"
"3610","Q8VCC2","Ces1"
"3654","Q8VD62","Bles03"
"3772","Q91VN1","Znf24"
"3788","Q91VY9","Znf622"
"3846","Q91WW3","Mrgpra3"
"3849","Q91X21","Kiaa2013"
"3863","Q91XA9","Chia"
"3927","Q91ZE0","Tmlhe"
"3945","Q920B9","Supt16h"
"3964","Q921I1","Tf"
"3991","Q922H9","Znf330"
"4158","Q99LI5","Znf281"
"4170","Q99LU0","Chmp1b1"
"4172","Q99LX5","Mmtag2"
"4179","Q99M31","Hspa14"
"4199","Q99N16","Cyp4f3"
"4235","Q99PW4","Tp53rkb"
"4305","Q9CQE2","Tmem223"
"4308","Q9CQE8","RTRAF"
"4337","Q9CQP0","Mrpl33"
"4348","Q9CQS5","Riok2"
"4368","Q9CQX8","Kgd4"
"4381","Q9CR24","Nudt8"
"4397","Q9CR64","Tmem167a"
"4558","Q9CZW5","Tomm70"
"4565","Q9D020","Nt5c3a"
"4618","Q9D172","Gatd3"
"4624","Q9D1C8","Vps28"
"4730","Q9D7H3","RtcA"
"4778","Q9D8V0","Hm13"
"4794","Q9D958","Spcs1"
"4882","Q9DBW0","Cyp4v2"
"4912","Q9DCG6","Pbld1"
"4931","Q9DCQ3","Golt1a"
"4937","Q9DCT1","Akr1e2"
"5033","Q9ERU3","Znf22"
"5057","Q9ESY9","Ifi30"
"5086","Q9JHZ2","Ankh"
"5100","Q9JIF0","Prmt1"
"5117","Q9JIZ0","Cml1"
"5170","Q9JKV5","Scamp4"
"5217","Q9JMD0","Znf207"
"5305","Q9QZA0","Ca5b"
"5342","Q9R0H5","Krt71"
"5347","Q9R0M6","Rab9a"
"5350","Q9R0P4","Smap"
"5432","Q9WV27","Atp1a4"
"5463","Q9WVT6","Ca14"
"5519","Q9Z222","B3GNT2"
"5545","Q9Z2T6","Krt85"
