"gene_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","name","F0hPC1","F0hPC2","F0hPC3","F0hPP1","F0hPP2","F0hPP3"
"ENSMUSG00000000001",2605.7922576875,-0.0178551797456769,0.108353333801006,-0.164786620949462,0.869111935010674,0.977052233902412,"Gnai3","G protein subunit alpha i3",3791,3834,2497,3415,2645,2464
"ENSMUSG00000000028",29.8528201575882,0.727791842723924,0.456357726056527,1.59478365582393,0.110760623174262,0.452538198296802,"Cdc45","cell division cycle 45",44,28,26,19,16,11
"ENSMUSG00000000037",0.787379107106621,-1.62595609343479,3.05333672087133,-0.532517780407396,0.594367430450277,NA,"Scml2","Scm polycomb group protein like 2",1,0,0,1,1,3
"ENSMUSG00000000049",56435.5410988502,0.0441209163762165,0.112564843047453,0.391960004400456,0.695087765876071,0.920894673138433,"Apoh","apolipoprotein H",63500,63079,42209,52048,45092,38798
"ENSMUSG00000000056",1028.62114628177,0.00450406051411828,0.188045783232757,0.0239519357290948,0.980890947426584,0.998132022959514,"Narf","nuclear prelamin A recognition factor",1361,899,543,912,714,607
"ENSMUSG00000000058",21.5922474376633,-0.230022803306045,0.451090494927276,-0.50992607002976,0.610103256907753,0.892058341265555,"Cav2","caveolin 2",24,23,13,25,17,15
"ENSMUSG00000000078",119.863440824282,0.0964755313955272,0.319699451838395,0.301769461413699,0.762827812453381,0.945860838858568,"Klf6","Kruppel-like transcription factor 6",101.063472830109,107,71.9461980707395,88,60.1350883757737,69.9412932524092
"ENSMUSG00000000085",138.276815335681,0.0729537696181459,0.218907065400773,0.333263659099276,0.73893526874883,0.937644661043967,"Scmh1","sex comb on midleg homolog 1",178.347386735507,162.555492478708,138.683087000567,132.99553844188,140.812377439232,122.765354446555
"ENSMUSG00000000088",1957.07008630187,-0.354500593168548,0.105153997206056,-3.37125171260851,0.000748274544355015,0.0151747348326342,"Cox5a","cytochrome c oxidase subunit 5A",2042.38372795946,2269.39684674218,1568.86014071521,2331.58167081204,2277.73264957972,1655.85653839203
"ENSMUSG00000000093",4.23810961799662,-0.951308274208285,1.03572540186037,-0.918494682566968,0.358359941535565,0.750611510731635,"Tbx2","T-box 2",3,7,1,7,4,5.52900140800966
"ENSMUSG00000000120",9.82102647178646,0.213450537525385,0.53995495646661,0.395311747709801,0.692612830582504,0.920801479063856,"Ngfr","nerve growth factor receptor (TNFR superfamily, member 16)",19.134734076253,13.0657886974733,10.0912799295255,12.1127554396567,7.03485788107681,11.0496454192155
"ENSMUSG00000000126",17.1716525104727,-1.31737779070712,0.510807095999257,-2.57901231409095,0.00990832545452254,0.103133147320709,"Wnt9a","wingless-type MMTV integration site family, member 9A",10,10,4,24,19,7
"ENSMUSG00000000127",92.2574967089162,-0.210553252834378,0.23971555805785,-0.878346213905586,0.379755863518458,0.766519776552762,"Fer","FER tyrosine kinase",79.51968164041,115.448097777014,89.5806716103639,70.4267661949321,90.4720651105467,110.910116353281
"ENSMUSG00000000131",702.793639431311,0.361698285026017,0.181420112861148,1.9937055452217,0.0461842430309764,0.282474475938074,"Xpo6","exportin 6",844,988,690,604,550,575
"ENSMUSG00000000134",411.394411018509,0.0812815876142295,0.20877118131752,0.389333370158061,0.697029553991363,0.921743412212845,"Tfe3","transcription factor E3",603,592,416,566,354,379
"ENSMUSG00000000142",108.125212003147,2.86493833653655,0.461693320742024,6.20528434748002,5.45980933844097e-10,6.02113188530218e-08,"Axin2","axin 2",287,439,243,45,16,32
"ENSMUSG00000000148",198.095795010633,0.191188266837018,0.181952966510598,1.05075652518082,0.293370427639235,0.695087888213415,"Brat1","BRCA1-associated ATM activator 1",248,297,233,193,187,180
"ENSMUSG00000000149",2788.91151230461,0.185284361124859,0.132797761165188,1.39523708456487,0.162944357420111,0.543092768311568,"Gna12","guanine nucleotide binding protein, alpha 12",2778.76827708412,2740.94348730277,1919.92749768884,2433.79209035701,1503.91040152699,1548.68877939062
"ENSMUSG00000000154",1800.44335924221,0.0610433039604169,0.122776472436396,0.497190567126289,0.619054672713655,0.894845070470224,"Slc22a18","solute carrier family 22 (organic cation transporter), member 18",2402,2241,1689,1654,1659,1711
"ENSMUSG00000000157",19.4087479007543,1.73871767776989,0.563409926626818,3.08606149021857,0.00202826872781374,0.0335380643171581,"Itgb2l","integrin beta 2-like",34,27,32,18,10,25
"ENSMUSG00000000159",536.817134866738,-0.258877342474466,0.128082590373552,-2.02117510053047,0.0432616422810915,0.271407312928484,"Igsf5","immunoglobulin superfamily, member 5",766.847576371937,633.701054372674,479,667.659472394095,643.700708910078,500.403342984716
"ENSMUSG00000000167",13.6304908967769,0.0479230288305056,0.579866597790757,0.082644920423229,0.934133882090727,0.989568315550279,"Pih1d2","PIH1 domain containing 2",13,20,11.2695458405945,15,15,2
"ENSMUSG00000000168",1665.04000393852,0.826676474247916,0.224332853514944,3.6850441711733,0.000228662980409353,0.00584536170609656,"Dlat","dihydrolipoamide S-acetyltransferase",2430,3168,3075,1277,1565,1522
"ENSMUSG00000000171",4042.85396203126,-0.404031246366421,0.118392659966826,-3.41263762871477,0.000643374306859191,0.0132897627720264,"Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein",4398,4400,3128,4883,4533,3731
"ENSMUSG00000000182",1.00779717021678,-0.388981916034827,1.9536987366176,-0.199100254683209,0.842184322008845,NA,"Fgf23","fibroblast growth factor 23",0,3,0,1,0,2
