"uniprot_symbol","uniprot_accession","ensembl_symbol","ensembl_id"
"A1cf","Q5YD48","A1cf","ENSMUSG00000052595"
"Aaas","P58742","Aaas","ENSMUSG00000036678"
"Aacs","Q9D2R0","Aacs","ENSMUSG00000029482"
"Aadac","Q99PG0","Aadac","ENSMUSG00000027761"
"Aadat","Q9WVM8","Aadat","ENSMUSG00000057228"
"Aak1","Q3UHJ0","Aak1","ENSMUSG00000057230"
"Aar2","Q9D2V5","Aar2","ENSMUSG00000027628"
"Aars1","Q8BGQ7","Aars1","ENSMUSG00000031960"
"Aars2","Q14CH7","Aars2","ENSMUSG00000023938"
"Aarsd1","Q3THG9","Aarsd1","ENSMUSG00000075528"
"Aasdhppt","Q9CQF6","Aasdhppt","ENSMUSG00000025894"
"Aass","Q99K67","Aass","ENSMUSG00000029695"
"Aatf","Q9JKX4","Aatf","ENSMUSG00000018697"
"Abat","P61922","Abat","ENSMUSG00000057880"
"Abca1","P41233","Abca1","ENSMUSG00000015243"
"Abca2","P41234","Abca2","ENSMUSG00000026944"
"Abca3","Q8R420","Abca3","ENSMUSG00000024130"
"Abca6","Q8K441","Abca6","ENSMUSG00000044749"
"Abca8b","Q8K440","Abca8b","ENSMUSG00000020620"
"Abcb10","Q9JI39","Abcb10","ENSMUSG00000031974"
"Abcb11","Q9QY30","Abcb11","ENSMUSG00000027048"
"Abcb1a","P21447","Abcb1a","ENSMUSG00000040584"
"Abcb4","P21440","Abcb4","ENSMUSG00000042476"
"Abcb6","Q9DC29","Abcb6","ENSMUSG00000026198"
"Abcb7","Q61102","Abcb7","ENSMUSG00000031333"
"Abcb8","Q9CXJ4","Abcb8","ENSMUSG00000028973"
"Abcc2","Q8VI47","Abcc2","ENSMUSG00000025194"
"Abcc3","B2RX12","Abcc3","ENSMUSG00000020865"
"Abcc6","Q9R1S7","Abcc6","ENSMUSG00000030834"
"Abcd1","P48410","Abcd1","ENSMUSG00000031378"
"Abcd2","Q61285","Abcd2","ENSMUSG00000055782"
"Abcd3","P55096","Abcd3","ENSMUSG00000028127"
"Abcd4","O89016","Abcd4","ENSMUSG00000021240"
"Abce1","P61222","Abce1","ENSMUSG00000058355"
"Abcf1","Q6P542","Abcf1","ENSMUSG00000038762"
"Abcf2","Q99LE6","Abcf2","ENSMUSG00000028953"
"Abcf3","Q8K268","Abcf3","ENSMUSG00000003234"
"Abcg2","Q7TMS5","Abcg2","ENSMUSG00000029802"
"Abcg5","Q99PE8","Abcg5","ENSMUSG00000040505"
"Abcg8","Q9DBM0","Abcg8","ENSMUSG00000024254"
"Abhd10","Q6PE15","Abhd10","ENSMUSG00000033157"
"Abhd11","Q8K4F5","Abhd11","ENSMUSG00000040532"
"Abhd12","Q99LR1","Abhd12","ENSMUSG00000032046"
"Abhd14b","Q8VCR7","Abhd14b","ENSMUSG00000042073"
"Abhd15","Q5F2F2","Abhd15","ENSMUSG00000000686"
"Abhd16a","Q9Z1Q2","Abhd16a","ENSMUSG00000007036"
"Abhd17a","Q99JW1","Abhd17a","ENSMUSG00000003346"
"Abhd17c","Q8VCV1","Abhd17c","ENSMUSG00000038459"
"Abhd18","Q8C1A9","Abhd18","ENSMUSG00000037818"
"Abhd2","Q9QXM0","Abhd2","ENSMUSG00000039202"
"Abhd3","Q91ZH7","Abhd3","ENSMUSG00000002475"
"Abhd4","Q8VD66","Abhd4","ENSMUSG00000040997"
