From,To
A2AQ25,ENSMUSG00000036617.18
O08848,ENSMUSG00000018199.10
O55201,ENSMUSG00000003435.10
O70230,ENSMUSG00000061079.15
O70251,ENSMUSG00000025967.17
O70582,ENSMUSG00000032807.6
P00015,ENSMUSG00000056436.5
P00158,ENSMUSG00000064370.1
P00397,ENSMUSG00000064351.1
P00405,ENSMUSG00000064354.1
P00416,ENSMUSG00000064358.1
P00848,ENSMUSG00000064357.1
P00920,ENSMUSG00000027562.13
P03888,ENSMUSG00000064341.1
P03893,ENSMUSG00000064345.1
P03899,ENSMUSG00000064360.1
P03903,ENSMUSG00000065947.1
P03911,ENSMUSG00000064363.1
P03921,ENSMUSG00000064367.1
P03930,ENSMUSG00000064356.1
P04104,ENSMUSG00000046834.8
P05977,ENSMUSG00000061816.16
P06684,ENSMUSG00000026874.11
P06745,ENSMUSG00000036427.6
P08607,ENSMUSG00000026405.15
P0DN34,ENSMUSG00000113902.2
P10639,ENSMUSG00000028367.6
P10922,ENSMUSG00000096210.3
P14576,ENSMUSG00000073079.7
P14576,ENSMUSG00000112449.2
P15864,ENSMUSG00000036181.3
P16015,ENSMUSG00000027559.6
P17156,ENSMUSG00000059970.8
P19258,ENSMUSG00000107283.4
P23589,ENSMUSG00000025317.8
P26262,ENSMUSG00000109764.2
P28651,ENSMUSG00000041261.10
P43274,ENSMUSG00000051627.4
P43276,ENSMUSG00000058773.3
P43277,ENSMUSG00000052565.8
P45700,ENSMUSG00000003746.17
P49070,ENSMUSG00000021501.5
P51150,ENSMUSG00000079477.10
P54751,ENSMUSG00000013846.11
P56542,ENSMUSG00000003812.14
P62838,ENSMUSG00000091896.10
P63163,ENSMUSG00000102252.6
P63271,ENSMUSG00000020485.15
P70452,ENSMUSG00000030805.15
P97351,ENSMUSG00000028081.7
P97807,ENSMUSG00000026526.15
Q3TTY5,ENSMUSG00000064201.9
Q5QGU6,ENSMUSG00000066319.7
Q61136,ENSMUSG00000021413.10
Q61216,ENSMUSG00000031928.16
Q61464,ENSMUSG00000030016.16
Q61624,ENSMUSG00000022811.18
Q62383,ENSMUSG00000002052.7
Q63850,ENSMUSG00000109511.2
Q64435,ENSMUSG00000054545.18
Q64435,ENSMUSG00000090124.8
Q64478,ENSMUSG00000114456.2
Q64522,ENSMUSG00000063689.5
Q66GT5,ENSMUSG00000063235.19
Q69Z99,ENSMUSG00000062761.8
Q6A0A9,ENSMUSG00000038014.8
Q6IQX8,ENSMUSG00000049295.18
Q6NZF1,ENSMUSG00000102976.7
Q6ZWR6,ENSMUSG00000096054.4
Q7TSH3,ENSMUSG00000058881.14
Q80YR4,ENSMUSG00000041130.11
Q80ZM3,ENSMUSG00000039958.18
Q8BFZ3,ENSMUSG00000055194.4
Q8BGB2,ENSMUSG00000036918.17
Q8BHZ4,ENSMUSG00000005621.12
Q8BJ90,ENSMUSG00000054716.5
Q8BL74,ENSMUSG00000106864.4
Q8BRV5,ENSMUSG00000051339.11
Q8BTW3,ENSMUSG00000109941.2
Q8CE64,ENSMUSG00000001065.16
Q8CG76,ENSMUSG00000028743.8
Q8K0C4,ENSMUSG00000001467.6
Q8K1E0,ENSMUSG00000010110.18
Q8K201,ENSMUSG00000036275.14
Q8K2C6,ENSMUSG00000054021.7
Q8QZV7,ENSMUSG00000040250.15
Q8R079,ENSMUSG00000022684.16
Q8R0J4,ENSMUSG00000024845.20
Q8R1N0,ENSMUSG00000046010.8
Q8VCC2,ENSMUSG00000057074.7
Q8VD62,ENSMUSG00000047423.11
Q91VN1,ENSMUSG00000051469.15
Q91VY9,ENSMUSG00000052253.7
Q91X21,ENSMUSG00000044496.7
Q91XA9,ENSMUSG00000062778.13
Q921I1,ENSMUSG00000032554.16
Q922H9,ENSMUSG00000031711.8
Q99LI5,ENSMUSG00000041483.15
Q99LU0,ENSMUSG00000109901.3
Q99LX5,ENSMUSG00000020441.7
Q99M31,ENSMUSG00000109865.2
Q99N16,ENSMUSG00000003484.5
Q9CQE2,ENSMUSG00000117924.2
Q9CQE8,ENSMUSG00000021807.7
Q9CQP0,ENSMUSG00000106918.4
Q9CQS5,ENSMUSG00000116564.2
Q9CQX8,ENSMUSG00000061474.12
Q9CR24,ENSMUSG00000110949.2
Q9CR24,ENSMUSG00000024869.11
Q9CR64,ENSMUSG00000012422.15
Q9CZW5,ENSMUSG00000022752.10
Q9D020,ENSMUSG00000029780.15
Q9D172,ENSMUSG00000053329.8
Q9D1C8,ENSMUSG00000115987.2
Q9D7H3,ENSMUSG00000000339.15
Q9D8V0,ENSMUSG00000019188.17
Q9D958,ENSMUSG00000021917.17
Q9DBW0,ENSMUSG00000079057.5
Q9DCG6,ENSMUSG00000112129.2
Q9DCQ3,ENSMUSG00000103421.2
Q9DCQ3,ENSMUSG00000098306.10
Q9DCT1,ENSMUSG00000045410.19
Q9ERU3,ENSMUSG00000059878.13
Q9ESY9,ENSMUSG00000031838.11
Q9JHZ2,ENSMUSG00000022265.8
Q9JIF0,ENSMUSG00000109324.3
Q9JIZ0,ENSMUSG00000057103.12
Q9JKV5,ENSMUSG00000113949.2
Q9JMD0,ENSMUSG00000017421.19
Q9QZA0,ENSMUSG00000031373.5
Q9R0H5,ENSMUSG00000051879.5
Q9R0M6,ENSMUSG00000079316.11
Q9R0P4,ENSMUSG00000030663.13
Q9WV27,ENSMUSG00000007107.7
Q9WVT6,ENSMUSG00000038526.15
Q9Z222,ENSMUSG00000051650.12
Q9Z2T6,ENSMUSG00000116336.3
