From,To
A0JNU3,ENSMUSG00000037686.7
A2A432,ENSMUSG00000031095.16
A2A4P0,ENSMUSG00000034931.16
A2A5R2,ENSMUSG00000074582.11
A2A5Z6,ENSMUSG00000018363.18
A2A6A1,ENSMUSG00000034621.15
A2A7S8,ENSMUSG00000050390.13
A2A8L5,ENSMUSG00000033295.15
A2A8U2,ENSMUSG00000044700.16
A2A8Z1,ENSMUSG00000028559.18
A2ADA5,ENSMUSG00000051557.16
A2ADY9,ENSMUSG00000078515.6
A2AGH6,ENSMUSG00000079487.12
A2AH22,ENSMUSG00000040506.17
A2AIL4,ENSMUSG00000050323.15
A2AIV2,ENSMUSG00000040720.16
A2AJ15,ENSMUSG00000036646.14
A2AJ88,ENSMUSG00000036833.17
A2AJB2,ENSMUSG00000026939.13
A2AJI0,ENSMUSG00000028849.18
A2AJL3,ENSMUSG00000028573.19
A2AKG8,ENSMUSG00000038368.17
A2AKK5,ENSMUSG00000070985.4
A2AKQ0,ENSMUSG00000028521.18
A2ALK8,ENSMUSG00000038764.15
A2ALU4,ENSMUSG00000045180.14
A2ALW5,ENSMUSG00000070972.14
A2AN08,ENSMUSG00000066036.15
A2APT9,ENSMUSG00000078234.7
A2APY7,ENSMUSG00000027384.7
A2AQ19,ENSMUSG00000027304.10
A2AQ25,ENSMUSG00000036617.18
A2AR02,ENSMUSG00000042133.17
A2AS89,ENSMUSG00000040706.5
A2ASZ8,ENSMUSG00000026819.16
A2ATU0,ENSMUSG00000025815.15
A2AWA9,ENSMUSG00000035437.16
A2AWP8,ENSMUSG00000040964.17
A2BDX3,ENSMUSG00000074576.5
A2BE28,ENSMUSG00000057421.13
A2BH40,ENSMUSG00000007880.17
A2CG49,ENSMUSG00000061751.17
A2RSJ4,ENSMUSG00000019951.11
A2RSQ0,ENSMUSG00000030313.16
A2RTL5,ENSMUSG00000029422.16
A3KGB4,ENSMUSG00000042473.9
A3KGS3,ENSMUSG00000037110.21
A3KMP2,ENSMUSG00000035944.18
A4FUP9,ENSMUSG00000049971.18
